"","ZIP CODE","count","amount","median_unit"
"1","11436",192,95379340,420.098039215686
"2","11213",98,153928783,396.730006105006
"3","11212",127,91747627,278.125
"4","11225",65,172701533,568.181818181818
"5","11218",144,229947780,561.422413793103
"6","11226",128,309796465,367.156862745098
"7","11219",145,262553662,495.283018867925
"8","11210",175,196359209,471.014492753623
"9","11230",147,257648193,611.764705882353
"10","11204",171,218534136,600
"11","10471",58,71306900,413.508278431663
"12","10470",73,78815857,291.550279329609
"13","10466",279,157588317,283.553875236295
"14","10467",135,152177771,243.116578793204
"15","10463",59,81803528,399.858457183298
"16","10475",17,9255000,280
"17","10464",45,34470822,372.886473429952
"18","10469",366,213694656,307.597538729614
"19","10468",41,90314350,236.842105263158
"20","10463",59,81803528,399.858457183298
"21","10458",72,129967601,272.82196969697
"22","10034",4,29636482,1526.13047980232
"23","10033",8,56459600,255.703275954884
"24","10462",113,95467666,298.507462686567
"25","10040",6,91350000,214.507838065838
"26","10453",58,133908770,234.233428746089
"27","10465",263,161630672,334.375
"28","10464",45,34470822,372.886473429952
"29","10464",45,34470822,372.886473429952
"30","10461",227,188769461,326.577880718008
"31","10457",83,150020459,259.259259259259
"32","10460",84,81880103,260.858294930876
"33","10032",6,15495656,7.01834562903963
"34","10452",37,108094112,277.033492822966
"35","10456",63,140488892,248.96265560166
"36","10472",94,117703149,260.823170731707
"37","10031",30,84741835,442.625687475878
"38","10039",11,46884214,323.367260390161
"39","10459",77,245887532,277.777777777778
"40","10451",33,288995000,343.396226415094
"41","10473",146,150861399,281.840199084567
"42","10030",43,303017664,551.486929043378
"43","10027",49,640786460,718.75
"44","10474",86,251848796,2.38906830602259
"45","10455",39,119264069,239.130434782609
"46","10037",8,64595200,604.36862746354
"47","10024",27,281274471,769.69696969697
"48","10454",36,384750829,306.555769230769
"49","10026",23,63858475,304.797022332506
"50","10035",16,69870437,556.795632808441
"51","10048",0,0,NA
"52","10025",42,457777456,869.417620265654
"53","11357",232,254731876,586.995619323206
"54","10029",22,77975425,455.520375295119
"55","00083",0,0,NA
"56","11356",108,106600783,456.774916013438
"57","11359",0,0,NA
"58","11360",42,45646837,458.570291173794
"59","11105",77,179007132,633.029978586724
"60","10128",24,279482456,1101.27909530083
"61","10023",11,113721000,1066.56580937973
"62","11363",46,52126085,548.485313092979
"63","10028",19,325011849,913.065843621399
"64","11354",79,282294920,525.190839694656
"65","11102",36,109681997,689.571629213483
"66","11370",69,62905845,477.589052287582
"67","10021",18,198224000,1272.03226754382
"68","11358",193,207838016,557.352941176471
"69","11362",83,85933656,578.703703703704
"70","10044",0,0,NA
"71","11369",139,105631757,473.856209150327
"72","11103",63,121519215,608.695652173913
"73","11106",35,135295961,574.324324324324
"74","11368",125,177500588,440.237226277372
"75","11377",123,151663126,486.880466472303
"76","11355",127,334065613,625.938908362544
"77","11101",65,1538899040,462.337662337662
"78","11364",136,136290526,602.148068269564
"79","10018",6,1468807939,1659.17081343265
"80","10020",1,2.85e+08,329.190918026841
"81","11005",0,0,NA
